"reg";"educ.fem";"educ.mal";"prevc1";"prevc2";"prevc3";"cfrc1";"cfrc2";"cfrc3"
"Brazil";"LP";"LP";"80.87";"62.17";"36.59";"6.84";"5.52";"3.87"
"Brazil";"LP";"P";" 4.01";" 5.47";" 6.65";"4.61";"3.85";"2.99"
"Brazil";"LP";"S";" 1.70";" 2.22";" 2.28";"4.13";"3.47";"2.67"
"Brazil";"LP";"T";" 0.56";" 0.48";" 0.26";"3.91";"3.28";"2.47"
"Brazil";"P";"LP";" 2.34";" 5.08";" 8.60";"4.68";"3.76";"2.91"
"Brazil";"P";"P";" 1.95";" 4.22";" 9.57";"3.85";"3.12";"2.51"
"Brazil";"P";"S";" 1.18";" 2.17";" 4.02";"3.64";"2.95";"2.38"
"Brazil";"P";"T";" 0.84";" 0.86";" 0.77";"3.45";"2.85";"2.22"
"Brazil";"S";"LP";" 1.20";" 2.56";" 3.76";"4.31";"3.25";"2.50"
"Brazil";"S";"P";" 0.82";" 1.92";" 4.46";"3.54";"2.76";"2.20"
"Brazil";"S";"S";" 1.49";" 4.06";" 9.15";"3.39";"2.64";"2.09"
"Brazil";"S";"T";" 1.43";" 2.60";" 2.97";"3.54";"2.69";"2.06"
"Brazil";"T";"LP";" 0.21";" 0.59";" 0.79";"3.71";"2.67";"2.23"
"Brazil";"T";"P";" 0.19";" 0.67";" 1.31";"3.07";"2.42";"1.98"
"Brazil";"T";"S";" 0.33";" 1.50";" 3.21";"3.18";"2.36";"1.86"
"Brazil";"T";"T";" 0.88";" 3.45";" 5.60";"3.29";"2.45";"1.86"
"Midwest";"LP";"LP";"83.70";"62.63";"34.89";"7.15";"5.45";"3.54"
"Midwest";"LP";"P";" 2.90";" 4.73";" 6.21";"5.75";"4.21";"3.00"
"Midwest";"LP";"S";" 1.16";" 1.73";" 1.93";"4.83";"3.83";"2.74"
"Midwest";"LP";"T";" 0.40";" 0.38";" 0.25";"4.29";"3.81";"2.69"
"Midwest";"P";"LP";" 2.28";" 5.66";" 9.42";"4.82";"3.91";"2.88"
"Midwest";"P";"P";" 1.67";" 3.91";" 9.44";"4.52";"3.42";"2.61"
"Midwest";"P";"S";" 0.94";" 1.92";" 3.75";"4.38";"3.36";"2.51"
"Midwest";"P";"T";" 0.81";" 0.68";" 0.77";"3.99";"3.12";"2.39"
"Midwest";"S";"LP";" 1.11";" 2.98";" 4.41";"4.72";"3.38";"2.51"
"Midwest";"S";"P";" 0.72";" 2.06";" 4.80";"4.16";"3.01";"2.33"
"Midwest";"S";"S";" 1.15";" 3.84";" 8.63";"3.94";"2.90";"2.26"
"Midwest";"S";"T";" 1.39";" 2.55";" 3.05";"3.68";"2.90";"2.22"
"Midwest";"T";"LP";" 0.22";" 0.67";" 1.09";"3.87";"2.88";"2.32"
"Midwest";"T";"P";" 0.21";" 0.79";" 1.63";"2.86";"2.68";"2.19"
"Midwest";"T";"S";" 0.32";" 1.65";" 3.57";"3.72";"2.58";"2.06"
"Midwest";"T";"T";" 1.02";" 3.82";" 6.17";"3.35";"2.63";"2.08"
"North-Northeast";"LP";"LP";"89.30";"73.99";"48.47";"8.36";"7.07";"4.85"
"North-Northeast";"LP";"P";" 2.02";" 3.38";" 5.10";"6.59";"5.18";"3.68"
"North-Northeast";"LP";"S";" 0.78";" 1.27";" 1.67";"5.91";"4.56";"3.22"
"North-Northeast";"LP";"T";" 0.22";" 0.18";" 0.15";"5.22";"4.39";"2.88"
"North-Northeast";"P";"LP";" 1.78";" 4.43";" 8.76";"6.34";"4.93";"3.48"
"North-Northeast";"P";"P";" 1.02";" 2.40";" 6.61";"5.63";"4.11";"2.89"
"North-Northeast";"P";"S";" 0.62";" 1.26";" 2.79";"4.80";"3.68";"2.70"
"North-Northeast";"P";"T";" 0.33";" 0.31";" 0.40";"4.33";"3.49";"2.42"
"North-Northeast";"S";"LP";" 1.01";" 2.79";" 4.54";"5.51";"4.04";"2.86"
"North-Northeast";"S";"P";" 0.54";" 1.58";" 4.08";"4.42";"3.23";"2.40"
"North-Northeast";"S";"S";" 0.87";" 3.17";" 7.96";"4.26";"3.01";"2.26"
"North-Northeast";"S";"T";" 0.64";" 1.33";" 1.84";"3.99";"3.07";"2.28"
"North-Northeast";"T";"LP";" 0.15";" 0.48";" 0.92";"5.21";"3.25";"2.59"
"North-Northeast";"T";"P";" 0.11";" 0.44";" 1.07";"3.78";"2.73";"2.24"
"North-Northeast";"T";"S";" 0.20";" 1.13";" 2.42";"3.62";"2.65";"2.06"
"North-Northeast";"T";"T";" 0.40";" 1.85";" 3.23";"3.54";"2.78";"2.07"
"South-Southeast";"LP";"LP";"76.80";"56.61";"31.32";"6.01";"4.59";"3.22"
"South-Southeast";"LP";"P";" 5.00";" 6.52";" 7.42";"4.20";"3.50";"2.77"
"South-Southeast";"LP";"S";" 2.16";" 2.71";" 2.61";"3.81";"3.21";"2.50"
"South-Southeast";"LP";"T";" 0.73";" 0.63";" 0.32";"3.71";"3.09";"2.37"
"South-Southeast";"P";"LP";" 2.60";" 5.33";" 8.44";"4.16";"3.29";"2.65"
"South-Southeast";"P";"P";" 2.39";" 5.10";"10.95";"3.47";"2.88";"2.40"
"South-Southeast";"P";"S";" 1.45";" 2.61";" 4.61";"3.37";"2.76";"2.28"
"South-Southeast";"P";"T";" 1.07";" 1.13";" 0.94";"3.29";"2.75";"2.16"
"South-Southeast";"S";"LP";" 1.30";" 2.41";" 3.32";"3.85";"2.81";"2.27"
"South-Southeast";"S";"P";" 0.96";" 2.07";" 4.60";"3.27";"2.56";"2.10"
"South-Southeast";"S";"S";" 1.81";" 4.49";" 9.76";"3.17";"2.49";"2.00"
"South-Southeast";"S";"T";" 1.79";" 3.20";" 3.48";"3.46";"2.60";"1.99"
"South-Southeast";"T";"LP";" 0.23";" 0.63";" 0.70";"3.25";"2.44";"1.99"
"South-Southeast";"T";"P";" 0.23";" 0.76";" 1.39";"2.93";"2.31";"1.86"
"South-Southeast";"T";"S";" 0.39";" 1.66";" 3.53";"3.04";"2.25";"1.77"
"South-Southeast";"T";"T";" 1.09";" 4.16";" 6.62";"3.24";"2.37";"1.79"
